"89,BUXTON HOUSE,BUXTON FL 2,BUXTON 202,BUXTON 202,BUXTON 202-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"90,BUXTON HOUSE,BUXTON FL 2,BUXTON 212,BUXTON 212,BUXTON 212-1,Single,,CoEd,24-25 SpringGeneralSelection,"
"91,BUXTON HOUSE,BUXTON FL 2,BUXTON 214,BUXTON 214,BUXTON 214-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"92,BUXTON HOUSE,BUXTON FL 2,BUXTON 214,BUXTON 214,BUXTON 214-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"93,BUXTON HOUSE,BUXTON FL 2,BUXTON 216A,BUXTON 216A,BUXTON 216A-1,Single,,CoEd,24-25 SpringGeneralSelection,"
"94,BUXTON HOUSE,BUXTON FL 2,BUXTON 216B,BUXTON 216B,BUXTON 216B-1,Single,,CoEd,24-25 SpringGeneralSelection,"

",A,B,C,D,E,F,G,H,I,"
"95,BUXTON HOUSE,BUXTON FL 2,BUXTON 218,BUXTON 218,BUXTON 218-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"96,BUXTON HOUSE,BUXTON FL 2,BUXTON 218,BUXTON 218,BUXTON 218-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"97,BUXTON HOUSE,BUXTON FL 2,BUXTON 219,BUXTON 219,BUXTON 219-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"98,BUXTON HOUSE,BUXTON FL 2,BUXTON 219,BUXTON 219,BUXTON 219-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"99,BUXTON HOUSE,BUXTON FL 2,BUXTON 220,BUXTON 220,BUXTON 220-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"100,BUXTON HOUSE,BUXTON FL 2,BUXTON 220,BUXTON 220,BUXTON 220-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"101,BUXTON HOUSE,BUXTON FL 3,BUXTON 301,BUXTON 301,BUXTON 301-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"102,BUXTON HOUSE,BUXTON FL 3,BUXTON 301,BUXTON 301,BUXTON 301-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"103,BUXTON HOUSE,BUXTON FL 3,BUXTON 302,BUXTON 302,BUXTON 302-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"104,BUXTON HOUSE,BUXTON FL 3,BUXTON 302,BUXTON 302,BUXTON 302-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"105,BUXTON HOUSE,BUXTON FL 3,BUXTON 314,BUXTON 314,BUXTON 314-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"106,BUXTON HOUSE,BUXTON FL 3,BUXTON 314,BUXTON 314,BUXTON 314-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"107,BUXTON HOUSE,BUXTON FL 3,BUXTON 316A,BUXTON 316A,BUXTON 316A-1,Single,,CoEd,24-25 SpringGeneralSelection,"
"108,BUXTON HOUSE,BUXTON FL 3,BUXTON 316B,BUXTON 316B,BUXTON 316B-1,Single,,CoEd,24-25 SpringGeneralSelection,"
"109,BUXTON HOUSE,BUXTON FL 3,BUXTON 318,BUXTON 318,BUXTON 318-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"110,BUXTON HOUSE,BUXTON FL 3,BUXTON 318,BUXTON 318,BUXTON 318-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"111,BUXTON HOUSE,BUXTON FL 3,BUXTON 319,BUXTON 319,BUXTON 319-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"112,BUXTON HOUSE,BUXTON FL 3,BUXTON 319,BUXTON 319,BUXTON 319-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"113,BUXTON HOUSE,BUXTON FL 3,BUXTON 320,BUXTON 320,BUXTON 320-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"114,BUXTON HOUSE,BUXTON FL 3,BUXTON 320,BUXTON 320,BUXTON 320-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"115,BUXTON HOUSE,BUXTON FL 4,BUXTON 414,BUXTON 414,BUXTON 414-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"116,BUXTON HOUSE,BUXTON FL 4,BUXTON 414,BUXTON 414,BUXTON 414-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"117,BUXTON HOUSE,BUXTON FL 4,BUXTON 418,BUXTON 418,BUXTON 418-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"118,BUXTON HOUSE,BUXTON FL 4,BUXTON 418,BUXTON 418,BUXTON 418-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"119,BUXTON HOUSE,BUXTON FL 4,BUXTON 420,BUXTON 420,BUXTON 420-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"120,BUXTON HOUSE,BUXTON FL 4,BUXTON 420,BUXTON 420,BUXTON 420-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"121,CASWELL HALL,CASWELL FL 1S,CASWELL 101,CASWELL 101,CASWELL 101-1,Double,,CoEd,24-25 SubstanceFree,"
"122,CASWELL HALL,CASWELL FL 1S,CASWELL 101,CASWELL 101,CASWELL 101-2,Double,,CoEd,24-25 SubstanceFree,"
