"1624,PERKINSHALL,PERKINSFL 2,PERKINS243,PERKINS243,PERKINS243-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1625,PERKINSHALL,PERKINSFL 2,PERKINS244,PERKINS244,PERKINS244-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1626,PERKINSHALL,PERKINSFL 2,PERKINS244,PERKINS244,PERKINS244-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1627,PERKINSHALL,PERKINSFL 3,PERKINS315,PERKINS315,PERKINS315-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1628,PERKINSHALL,PERKINSFL 3,PERKINS315,PERKINS315,PERKINS315-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1629,PERKINSHALL,PERKINSFL 3,PERKINS316,PERKINS316,PERKINS316-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1630,PERKINSHALL,PERKINSFL 3,PERKINS316,PERKINS316,PERKINS316-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1631,PERKINSHALL,PERKINSFL 3,PERKINS317,PERKINS317,PERKINS317-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1632,PERKINSHALL,PERKINSFL 3,PERKINS317,PERKINS317,PERKINS317-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1633,PERKINSHALL,PERKINSFL 3,PERKINS318,PERKINS318,PERKINS318-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1634,PERKINSHALL,PERKINSFL 3,PERKINS318,PERKINS318,PERKINS318-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1635,PERKINSHALL,PERKINSFL 3,PERKINS319,PERKINS319,PERKINS319-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1636,PERKINSHALL,PERKINSFL 3,PERKINS319,PERKINS319,PERKINS319-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1637,PERKINSHALL,PERKINSFL 3,PERKINS320,PERKINS320,PERKINS320-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1638,PERKINSHALL,PERKINSFL 3,PERKINS320,PERKINS320,PERKINS320-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1639,PERKINSHALL,PERKINSFL 3,PERKINS321,PERKINS321,PERKINS321-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1640,PERKINSHALL,PERKINSFL 3,PERKINS321,PERKINS321,PERKINS321-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1641,PERKINSHALL,PERKINSFL 3,PERKINS324,PERKINS324,PERKINS324-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1642,PERKINSHALL,PERKINSFL 3,PERKINS324,PERKINS324,PERKINS324-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1643,PERKINSHALL,PERKINSFL 3,PERKINS325,PERKINS325,PERKINS325-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1644,PERKINSHALL,PERKINSFL 3,PERKINS325,PERKINS325,PERKINS325-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1645,PERKINSHALL,PERKINSFL 3,PERKINS326,PERKINS326,PERKINS326-1,Double,,CoEd,24-25 SpringGeneralSelection,"

",A,B,C,D,E,F,G,H,I,"
"1646,PERKINSHALL,PERKINSFL 3,PERKINS326,PERKINS326,PERKINS326-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1647,PERKINSHALL,PERKINSFL 3,PERKINS327,PERKINS327,PERKINS327-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1648,PERKINSHALL,PERKINSFL 3,PERKINS327,PERKINS327,PERKINS327-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1649,PERKINSHALL,PERKINSFL 3,PERKINS328,PERKINS328,PERKINS328-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1650,PERKINSHALL,PERKINSFL 3,PERKINS328,PERKINS328,PERKINS328-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1651,PERKINSHALL,PERKINSFL 3,PERKINS329,PERKINS329,PERKINS329-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1652,PERKINSHALL,PERKINSFL 3,PERKINS329,PERKINS329,PERKINS329-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1653,PERKINSHALL,PERKINSFL 3,PERKINS330,PERKINS330,PERKINS330-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1654,PERKINSHALL,PERKINSFL 3,PERKINS330,PERKINS330,PERKINS330-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1655,PERKINSHALL,PERKINSFL 3,PERKINS331,PERKINS331,PERKINS331-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1656,PERKINSHALL,PERKINSFL 3,PERKINS331,PERKINS331,PERKINS331-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1657,PERKINSHALL,PERKINSFL 3,PERKINS332,PERKINS332,PERKINS332-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1658,PERKINSHALL,PERKINSFL 3,PERKINS332,PERKINS332,PERKINS332-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1659,PERKINSHALL,PERKINSFL 3,PERKINS333,PERKINS333,PERKINS333-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1660,PERKINSHALL,PERKINSFL 3,PERKINS333,PERKINS333,PERKINS333-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1661,PERKINSHALL,PERKINSFL 3,PERKINS334,PERKINS334,PERKINS334-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1662,PERKINSHALL,PERKINSFL 3,PERKINS334,PERKINS334,PERKINS334-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1663,PERKINSHALL,PERKINSFL 3,PERKINS335,PERKINS335,PERKINS335-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1664,PERKINSHALL,PERKINSFL 3,PERKINS335,PERKINS335,PERKINS335-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1665,PERKINSHALL,PERKINSFL 3,PERKINS336,PERKINS336,PERKINS336-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1666,PERKINSHALL,PERKINSFL 3,PERKINS336,PERKINS336,PERKINS336-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1667,PERKINSHALL,PERKINSFL 3,PERKINS337,PERKINS337,PERKINS337-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1668,PERKINSHALL,PERKINSFL 3,PERKINS337,PERKINS337,PERKINS337-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1669,PERKINSHALL,PERKINSFL 3,PERKINS338,PERKINS338,PERKINS338-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1670,PERKINSHALL,PERKINSFL 3,PERKINS338,PERKINS338,PERKINS338-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1671,PERKINSHALL,PERKINSFL 3,PERKINS339,PERKINS339,PERKINS339-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1672,PERKINSHALL,PERKINSFL 3,PERKINS339,PERKINS339,PERKINS339-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1673,PERKINSHALL,PERKINSFL 3,PERKINS340,PERKINS340,PERKINS340-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1674,PERKINSHALL,PERKINSFL 3,PERKINS340,PERKINS340,PERKINS340-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1675,PERKINSHALL,PERKINSFL 3,PERKINS341,PERKINS341,PERKINS341-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1676,PERKINSHALL,PERKINSFL 3,PERKINS341,PERKINS341,PERKINS341-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1677,PERKINSHALL,PERKINSFL 3,PERKINS342,PERKINS342,PERKINS342-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1678,PERKINSHALL,PERKINSFL 3,PERKINS342,PERKINS342,PERKINS342-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1679,PERKINSHALL,PERKINSFL 3,PERKINS343,PERKINS343,PERKINS343-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1680,PERKINSHALL,PERKINSFL 3,PERKINS343,PERKINS343,PERKINS343-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1681,PERKINSHALL,PERKINSFL 3,PERKINS344,PERKINS344,PERKINS344-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1682,PERKINSHALL,PERKINSFL 3,PERKINS344,PERKINS344,PERKINS344-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1683,SEARSHOUSE,SEARSFL1,SEARS113,SEARS113,SEARS113-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1684,SEARSHOUSE,SEARSFL1,SEARS113,SEARS113,SEARS113-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1685,SEARSHOUSE,SEARSFL1,SEARS114A,SEARS114A,SEARS114A-1,Single,,CoEd,24-25 SpringGeneralSelection,"
"1686,SEARSHOUSE,SEARSFL1,SEARS114B,SEARS114B,SEARS114B-1,Single,,CoEd,24-25 SpringGeneralSelection,"
"1687,SEARSHOUSE,SEARSFL1,SEARS117,SEARS117,SEARS117-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1688,SEARSHOUSE,SEARSFL1,SEARS117,SEARS117,SEARS117-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1689,SEARSHOUSE,SEARSFL2,SEARS201,SEARS201,SEARS201-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1690,SEARSHOUSE,SEARSFL2,SEARS201,SEARS201,SEARS201-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1691,SEARSHOUSE,SEARSFL2,SEARS202,SEARS202,SEARS202-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1692,SEARSHOUSE,SEARSFL2,SEARS202,SEARS202,SEARS202-2,Double,,CoEd,24-25 SpringGeneralSelection,"

",A,B,C,D,E,F,G,H,I,"
"1693,SEARSHOUSE,SEARSFL2,SEARS204,SEARS204,SEARS204-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1694,SEARSHOUSE,SEARSFL2,SEARS204,SEARS204,SEARS204-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1695,SEARSHOUSE,SEARSFL2,SEARS206A,SEARS206A,SEARS206A-1,Single,,CoEd,24-25 SpringGeneralSelection,"
"1696,SEARSHOUSE,SEARSFL2,SEARS206B,SEARS206B,SEARS206B-1,Single,,CoEd,24-25 SpringGeneralSelection,"
"1697,SEARSHOUSE,SEARSFL2,SEARS207,SEARS207,SEARS207-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1698,SEARSHOUSE,SEARSFL2,SEARS207,SEARS207,SEARS207-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1699,SEARSHOUSE,SEARSFL2,SEARS208,SEARS208,SEARS208-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1700,SEARSHOUSE,SEARSFL2,SEARS208,SEARS208,SEARS208-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1701,SEARSHOUSE,SEARSFL2,SEARS210,SEARS210,SEARS210-1,Single,,CoEd,24-25 SpringGeneralSelection,"
"1702,SEARSHOUSE,SEARSFL2,SEARS213,SEARS213,SEARS213-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1703,SEARSHOUSE,SEARSFL2,SEARS213,SEARS213,SEARS213-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1704,SEARSHOUSE,SEARSFL2,SEARS214,SEARS214,SEARS214-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1705,SEARSHOUSE,SEARSFL2,SEARS214,SEARS214,SEARS214-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1706,SEARSHOUSE,SEARSFL2,SEARS217,SEARS217,SEARS217-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1707,SEARSHOUSE,SEARSFL2,SEARS217,SEARS217,SEARS217-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1708,SEARSHOUSE,SEARSFL2,SEARS219,SEARS219,SEARS219-1,Single,,CoEd,24-25 SpringGeneralSelection,"
"1709,SEARSHOUSE,SEARSFL2,SEARS223,SEARS223,SEARS223-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1710,SEARSHOUSE,SEARSFL2,SEARS223,SEARS223,SEARS223-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1711,SEARSHOUSE,SEARSFL2,SEARS229,SEARS229,SEARS229-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1712,SEARSHOUSE,SEARSFL2,SEARS229,SEARS229,SEARS229-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1713,SEARSHOUSE,SEARSFL2,SEARS230,SEARS230,SEARS230-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1714,SEARSHOUSE,SEARSFL2,SEARS230,SEARS230,SEARS230-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1715,SEARSHOUSE,SEARSFL3,SEARS301,SEARS301,SEARS301-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1716,SEARSHOUSE,SEARSFL3,SEARS301,SEARS301,SEARS301-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1717,SEARSHOUSE,SEARSFL3,SEARS302,SEARS302,SEARS302-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1718,SEARSHOUSE,SEARSFL3,SEARS302,SEARS302,SEARS302-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1719,SEARSHOUSE,SEARSFL3,SEARS304,SEARS304,SEARS304-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1720,SEARSHOUSE,SEARSFL3,SEARS304,SEARS304,SEARS304-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1721,SEARSHOUSE,SEARSFL3,SEARS306B,SEARS306B,SEARS306B-1,Single,,CoEd,24-25 SpringGeneralSelection,"
"1722,SEARSHOUSE,SEARSFL3,SEARS307,SEARS307,SEARS307-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1723,SEARSHOUSE,SEARSFL3,SEARS307,SEARS307,SEARS307-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1724,SEARSHOUSE,SEARSFL3,SEARS308,SEARS308,SEARS308-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1725,SEARSHOUSE,SEARSFL3,SEARS308,SEARS308,SEARS308-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1726,SEARSHOUSE,SEARSFL3,SEARS312,SEARS312,SEARS312-1,Single,,CoEd,24-25 SpringGeneralSelection,"
"1727,SEARSHOUSE,SEARSFL3,SEARS313,SEARS313,SEARS313-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1728,SEARSHOUSE,SEARSFL3,SEARS313,SEARS313,SEARS313-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1729,SEARSHOUSE,SEARSFL3,SEARS314,SEARS314,SEARS314-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1730,SEARSHOUSE,SEARSFL3,SEARS314,SEARS314,SEARS314-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1731,SEARSHOUSE,SEARSFL3,SEARS317,SEARS317,SEARS317-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1732,SEARSHOUSE,SEARSFL3,SEARS317,SEARS317,SEARS317-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1733,SEARSHOUSE,SEARSFL3,SEARS320,SEARS320,SEARS320-1,Single,,CoEd,24-25 SpringGeneralSelection,"
"1734,SEARSHOUSE,SEARSFL3,SEARS323,SEARS323,SEARS323-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1735,SEARSHOUSE,SEARSFL3,SEARS323,SEARS323,SEARS323-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1736,SEARSHOUSE,SEARSFL3,SEARS324,SEARS324,SEARS324-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1737,SEARSHOUSE,SEARSFL3,SEARS324,SEARS324,SEARS324-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1738,SEARSHOUSE,SEARSFL3,SEARS328,SEARS328,SEARS328-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1739,SEARSHOUSE,SEARSFL3,SEARS328,SEARS328,SEARS328-2,Double,,CoEd,24-25 SpringGeneralSelection,"

",A,B,C,D,E,F,G,H,I,"
"1740,SEARSHOUSE,SEARSFL3,SEARS329,SEARS329,SEARS329-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1741,SEARSHOUSE,SEARSFL3,SEARS329,SEARS329,SEARS329-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1742,SEARSHOUSE,SEARSFL3,SEARS330,SEARS330,SEARS330-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1743,SEARSHOUSE,SEARSFL3,SEARS330,SEARS330,SEARS330-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1744,SEARSHOUSE,SEARSFL4,SEARS401,SEARS401,SEARS401-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1745,SEARSHOUSE,SEARSFL4,SEARS401,SEARS401,SEARS401-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1746,SEARSHOUSE,SEARSFL4,SEARS406,SEARS406,SEARS406-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1747,SEARSHOUSE,SEARSFL4,SEARS406,SEARS406,SEARS406-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1748,SEARSHOUSE,SEARSFL4,SEARS407,SEARS407,SEARS407-1,Single,,CoEd,24-25 SpringGeneralSelection,"
"1749,SEARSHOUSE,SEARSFL4,SEARS408,SEARS408,SEARS408-1,Single,,CoEd,24-25 SpringGeneralSelection,"
"1750,SEARSHOUSE,SEARSFL4,SEARS426,SEARS426,SEARS426-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1751,SEARSHOUSE,SEARSFL4,SEARS426,SEARS426,SEARS426-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1752,SEARSHOUSE,SEARSFL4,SEARS430,SEARS430,SEARS430-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1753,SEARSHOUSE,SEARSFL4,SEARS430,SEARS430,SEARS430-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1754,SLATERHALL,SLATERFL1 S,SLATER101,SLATER101,SLATER101-1,Quad,,CoEd,24-25 SpringGeneralSelection,"
"1755,SLATERHALL,SLATERFL1 S,SLATER101,SLATER101,SLATER101-2,Quad,,CoEd,24-25 SpringGeneralSelection,"
"1756,SLATERHALL,SLATERFL1 S,SLATER101,SLATER101,SLATER101-3,Quad,,CoEd,24-25 SpringGeneralSelection,"
"1757,SLATERHALL,SLATERFL1 S,SLATER101,SLATER101,SLATER101-4,Quad,,CoEd,24-25 SpringGeneralSelection,"
"1758,SLATERHALL,SLATERFL1 S,SLATER102,SLATER102,SLATER102-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1759,SLATERHALL,SLATERFL1 S,SLATER102,SLATER102,SLATER102-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1760,SLATERHALL,SLATERFL1 N,SLATER104,SLATER104,SLATER104-1,Triple,,CoEd,24-25 SpringGeneralSelection,"
"1761,SLATERHALL,SLATERFL1 N,SLATER104,SLATER104,SLATER104-2,Triple,,CoEd,24-25 SpringGeneralSelection,"
"1762,SLATERHALL,SLATERFL1 N,SLATER104,SLATER104,SLATER104-3,Triple,,CoEd,24-25 SpringGeneralSelection,"
"1763,SLATERHALL,SLATERFL2,SLATER201,SLATER201,SLATER201-1,Quad,,CoEd,24-25 SpringGeneralSelection,"
"1764,SLATERHALL,SLATERFL2,SLATER201,SLATER201,SLATER201-2,Quad,,CoEd,24-25 SpringGeneralSelection,"
"1765,SLATERHALL,SLATERFL2,SLATER201,SLATER201,SLATER201-3,Quad,,CoEd,24-25 SpringGeneralSelection,"
"1766,SLATERHALL,SLATERFL2,SLATER201,SLATER201,SLATER201-4,Quad,,CoEd,24-25 SpringGeneralSelection,"
"1767,SLATERHALL,SLATERFL2,SLATER202,SLATER202,SLATER202-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1768,SLATERHALL,SLATERFL2,SLATER202,SLATER202,SLATER202-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1769,SLATERHALL,SLATERFL2,SLATER203,SLATER203,SLATER203-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1770,SLATERHALL,SLATERFL2,SLATER203,SLATER203,SLATER203-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1771,SLATERHALL,SLATERFL2,SLATER204,SLATER204,SLATER204-1,Quad,,CoEd,24-25 SpringGeneralSelection,"
"1772,SLATERHALL,SLATERFL2,SLATER204,SLATER204,SLATER204-2,Quad,,CoEd,24-25 SpringGeneralSelection,"
"1773,SLATERHALL,SLATERFL2,SLATER204,SLATER204,SLATER204-3,Quad,,CoEd,24-25 SpringGeneralSelection,"
"1774,SLATERHALL,SLATERFL2,SLATER204,SLATER204,SLATER204-4,Quad,,CoEd,24-25 SpringGeneralSelection,"
"1775,SLATERHALL,SLATERFL2,SLATER205,SLATER205,SLATER205-1,Single,,CoEd,24-25 SpringGeneralSelection,"
"1776,SLATERHALL,SLATERFL2,SLATER206,SLATER206,SLATER206-1,Single,,CoEd,24-25 SpringGeneralSelection,"
"1777,SLATERHALL,SLATERFL3,SLATER301,SLATER301,SLATER301-1,Quad,,CoEd,24-25 SpringGeneralSelection,"
"1778,SLATERHALL,SLATERFL3,SLATER301,SLATER301,SLATER301-2,Quad,,CoEd,24-25 SpringGeneralSelection,"
"1779,SLATERHALL,SLATERFL3,SLATER301,SLATER301,SLATER301-3,Quad,,CoEd,24-25 SpringGeneralSelection,"
"1780,SLATERHALL,SLATERFL3,SLATER301,SLATER301,SLATER301-4,Quad,,CoEd,24-25 SpringGeneralSelection,"
"1781,SLATERHALL,SLATERFL3,SLATER302,SLATER302,SLATER302-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1782,SLATERHALL,SLATERFL3,SLATER302,SLATER302,SLATER302-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1783,SLATERHALL,SLATERFL3,SLATER303,SLATER303,SLATER303-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1784,SLATERHALL,SLATERFL3,SLATER303,SLATER303,SLATER303-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1785,SLATERHALL,SLATERFL3,SLATER304,SLATER304,SLATER304-1,Quad,,CoEd,24-25 SpringGeneralSelection,"
"1786,SLATERHALL,SLATERFL3,SLATER304,SLATER304,SLATER304-2,Quad,,CoEd,24-25 SpringGeneralSelection,"

",A,B,C,D,E,F,G,H,I,"
"1787,SLATERHALL,SLATERFL3,SLATER304,SLATER304,SLATER304-3,Quad,,CoEd,24-25 SpringGeneralSelection,"
"1788,SLATERHALL,SLATERFL3,SLATER304,SLATER304,SLATER304-4,Quad,,CoEd,24-25 SpringGeneralSelection,"
"1789,SLATERHALL,SLATERFL3,SLATER307,SLATER307,SLATER307-1,Single,,CoEd,24-25 SpringGeneralSelection,"
"1790,SLATERHALL,SLATERFL4,SLATER401,SLATER401,SLATER401-1,Triple,,CoEd,24-25 SpringGeneralSelection,"
"1791,SLATERHALL,SLATERFL4,SLATER401,SLATER401,SLATER401-2,Triple,,CoEd,24-25 SpringGeneralSelection,"
"1792,SLATERHALL,SLATERFL4,SLATER401,SLATER401,SLATER401-3,Triple,,CoEd,24-25 SpringGeneralSelection,"
"1793,SLATERHALL,SLATERFL4,SLATER402,SLATER402,SLATER402-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1794,SLATERHALL,SLATERFL4,SLATER402,SLATER402,SLATER402-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1795,SLATERHALL,SLATERFL4,SLATER403,SLATER403,SLATER403-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1796,SLATERHALL,SLATERFL4,SLATER403,SLATER403,SLATER403-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1797,SLATERHALL,SLATERFL4,SLATER404,SLATER404,SLATER404-1,Triple,,CoEd,24-25 SpringGeneralSelection,"
"1798,SLATERHALL,SLATERFL4,SLATER404,SLATER404,SLATER404-2,Triple,,CoEd,24-25 SpringGeneralSelection,"
"1799,SLATERHALL,SLATERFL4,SLATER404,SLATER404,SLATER404-3,Triple,,CoEd,24-25 SpringGeneralSelection,"
"1800,SLATERHALL,SLATERFL4,SLATER405,SLATER405,SLATER405-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1801,SLATERHALL,SLATERFL4,SLATER405,SLATER405,SLATER405-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1802,SLATERHALL,SLATERFL4,SLATER406,SLATER406,SLATER406-1,Double,,CoEd,24-25 SpringGeneralSelection,"
"1803,SLATERHALL,SLATERFL4,SLATER406,SLATER406,SLATER406-2,Double,,CoEd,24-25 SpringGeneralSelection,"
"1804,STERNLICHT COMMONS,STERNLICHT FL 2,STERNLICHT 212,STERNLICHT 212,STERNLICHT 212-1,Single,,CoEd,24-25 WellnessSingle,"
"1805,STERNLICHT COMMONS,STERNLICHT FL 2,STERNLICHT 213,STERNLICHT 213,STERNLICHT 213-1,Single,,CoEd,24-25 WellnessSingle,"
"1806,STERNLICHT COMMONS,STERNLICHT FL 2,STERNLICHT 214,STERNLICHT 214,STERNLICHT 214-1,Single,,CoEd,24-25 WellnessSingle,"
"1807,STERNLICHT COMMONS,STERNLICHT FL 2,STERNLICHT 215,STERNLICHT 215,STERNLICHT 215-1,Single,,CoEd,24-25 WellnessSingle,"
"1808,STERNLICHT COMMONS,STERNLICHT FL 2,STERNLICHT 217,STERNLICHT 217,STERNLICHT 217-1,Single,,CoEd,24-25 WellnessSingle,"
"1809,STERNLICHT COMMONS,STERNLICHT FL 2,STERNLICHT 218,STERNLICHT 218,STERNLICHT 218-1,Single,,CoEd,24-25 WellnessSingle,"
"1810,STERNLICHT COMMONS,STERNLICHT FL 2,STERNLICHT 219,STERNLICHT 219,STERNLICHT 219-1,Single,,CoEd,24-25 WellnessSingle,"
"1811,STERNLICHT COMMONS,STERNLICHT FL 2,STERNLICHT 232,STERNLICHT 232,STERNLICHT 232-1,Single,,CoEd,24-25 WellnessSingle,"
"1812,STERNLICHT COMMONS,STERNLICHT FL 2,STERNLICHT 234,STERNLICHT 234,STERNLICHT 234-1,Single,,CoEd,24-25 WellnessSingle,"
"1813,STERNLICHT COMMONS,STERNLICHT FL 2,STERNLICHT 237,STERNLICHT 237,STERNLICHT 237-1,Single,,CoEd,24-25 WellnessSingle,"
"1814,STERNLICHT COMMONS,STERNLICHT FL 2,STERNLICHT 241,STERNLICHT 241,STERNLICHT 241-1,Single,,CoEd,24-25 WellnessSingle,"
"1815,STERNLICHT COMMONS,STERNLICHT FL 2,STERNLICHT 243,STERNLICHT 243,STERNLICHT 243-1,Single,,CoEd,24-25 WellnessSingle,"
"1816,STERNLICHT COMMONS,STERNLICHT FL 2,STERNLICHT 245,STERNLICHT 245,STERNLICHT 245-1,Single,,CoEd,24-25 WellnessSingle,"
"1817,STERNLICHT COMMONS,STERNLICHT FL 2,STERNLICHT 246,STERNLICHT 246,STERNLICHT 246-1,Single,,CoEd,24-25 WellnessSingle,"
"1818,STERNLICHT COMMONS,STERNLICHT FL 2,STERNLICHT 249,STERNLICHT 249,STERNLICHT 249-1,Single,,CoEd,24-25 WellnessSingle,"
"1819,STERNLICHT COMMONS,STERNLICHT FL 2,STERNLICHT 256,STERNLICHT 256,STERNLICHT 256-1,Single,,CoEd,24-25 WellnessSingle,"
"1820,STERNLICHT COMMONS,STERNLICHT FL 2,STERNLICHT 257,STERNLICHT 257,STERNLICHT 257-1,Single,,CoEd,24-25 WellnessSingle,"
